,physiologyM.condition15_ppt.cladeClade2,physiologyM.condition15_ppt.cladeClade3,AveExpr,F,P.Value,adj.P.Val,ensembl_transcript_id,ensembl_gene_id,gene_biotype,external_gene_name
ENSFHEP00000032342,1.61084670350375,-4.71475234744892,-1.40873616572503,9.48824123434165,0.000218323236395496,0.133913235398243,ENSFHET00000033834,ENSFHEG00000000480,protein_coding,
ENSFHEP00000006502,-3.29422080869947,-2.97557460478596,4.83466574087964,9.31376727360939,0.000250778634289616,0.142560445929819,ENSFHET00000005410,ENSFHEG00000007591,protein_coding,map3k8
ENSFHEP00000020925,-4.67666485456121,-3.3491673660682,0.807884168928617,9.33358048387391,0.000246856027458387,0.142560445929819,ENSFHET00000030553,ENSFHEG00000022913,protein_coding,doc2b
ENSFHEP00000023743,-4.76850321922966,0.0440292569084375,3.65717060498238,9.25277199222833,0.000263261400224317,0.142560445929819,ENSFHET00000009552,ENSFHEG00000004925,protein_coding,pak1ip1
ENSFHEP00000029826,-6.67731811526691,-0.532070903689783,2.99954655870995,9.2415621401589,0.000265624084087607,0.142560445929819,ENSFHET00000020769,ENSFHEG00000014748,protein_coding,
ENSFHEP00000031720,5.47979223665477,3.47198573846534,-2.01725699403864,9.29109708275549,0.0002553455285607,0.142560445929819,ENSFHET00000024428,ENSFHEG00000017789,protein_coding,
ENSFHEP00000005312,4.68886064865382,-0.291980134922067,2.82717564481913,9.06238686710184,0.000306491526018774,0.15301767629235,ENSFHET00000007376,ENSFHEG00000006267,protein_coding,cyp2u1
ENSFHEP00000006401,-4.22355937151623,-3.78627424091689,1.12858200881301,9.09079073250505,0.000299605369930713,0.15301767629235,ENSFHET00000005568,ENSFHEG00000007444,protein_coding,nkx2.5
ENSFHEP00000022199,-3.91977419669003,0.362296957489274,2.07663000768623,9.10419242362534,0.000296411698571537,0.15301767629235,ENSFHET00000013513,ENSFHEG00000002419,protein_coding,rnaseh2c
ENSFHEP00000010761,4.16635922763886,1.00913272874474,-2.78317614184598,9.01385698954542,0.000318635679203825,0.155465244571539,ENSFHET00000031331,ENSFHEG00000012142,protein_coding,
ENSFHEP00000009961,6.96635418818548,-0.47106428588955,-0.955011444248887,8.87388419721634,0.000356508909634088,0.170078517156102,ENSFHET00000016542,ENSFHEG00000011252,protein_coding,si:dkey-11k2.7
ENSFHEP00000025561,-1.16726889957483,-4.44025736867563,-1.22252131440794,8.6763395044719,0.000417990123362687,0.187086455486217,ENSFHET00000004919,ENSFHEG00000007865,protein_coding,si:dkey-245n4.2
ENSFHEP00000028812,-7.53372488836937,-1.80499571459976,-2.24754108101855,8.67540958253669,0.000418303980964153,0.187086455486217,ENSFHET00000031716,ENSFHEG00000013231,protein_coding,snx13
ENSFHEP00000030379,-6.14124078315846,-0.482362232308229,1.89848818876901,8.71971435729485,0.000403616345244327,0.187086455486217,ENSFHET00000021860,ENSFHEG00000015661,protein_coding,KCTD1
ENSFHEP00000003926,8.09705429646772,2.29631499489416,2.7649334266703,8.61468433975575,0.000439332582705936,0.188631837710621,ENSFHET00000009721,ENSFHEG00000004813,protein_coding,
ENSFHEP00000028356,4.46694335904588,5.33115710804118,-2.39954892344393,8.62585832132894,0.000435383136819064,0.188631837710621,ENSFHET00000017912,ENSFHEG00000012657,protein_coding,
ENSFHEP00000000739,-4.63178180893966,0.337137247042616,2.44849105094503,8.52501959688185,0.000472388188720179,0.189275133366704,ENSFHET00000015030,ENSFHEG00000001465,protein_coding,dmrt2b
ENSFHEP00000012416,-3.3347503117572,3.26490195626501,-2.45334672316911,8.53131357891928,0.000469986572683277,0.189275133366704,ENSFHET00000019680,ENSFHEG00000013867,protein_coding,
ENSFHEP00000016763,6.11298139918924,3.39121972965455,1.39185798951259,8.51536329680593,0.000476097317020776,0.189275133366704,ENSFHET00000025248,ENSFHEG00000018478,protein_coding,slc7a1a
ENSFHEP00000016786,-3.66711639165713,0.585233492931729,3.47701189186016,8.53906106126747,0.00046704755662475,0.189275133366704,ENSFHET00000033728,ENSFHEG00000000728,protein_coding,ints13
ENSFHEP00000014189,4.1337546766811,1.48829530425369,1.32190375687397,8.45851750838094,0.000498547650942025,0.193952851788986,ENSFHET00000021932,ENSFHEG00000015732,protein_coding,fgf20b
ENSFHEP00000026430,-0.202272239687686,2.86503516160333,5.02296828694206,8.44039193075774,0.000505932536807491,0.193952851788986,ENSFHET00000002735,ENSFHEG00000009262,protein_coding,
ENSFHEP00000009649,4.30789715632661,0.706775809095546,3.81617703619056,8.31760964626166,0.000559009290408035,0.210540551692626,ENSFHET00000000134,ENSFHEG00000010976,protein_coding,lnpa
ENSFHEP00000010077,-2.65481428117575,1.21710865823553,3.30969300350541,8.25280316355105,0.000589298716366334,0.211403024149996,ENSFHET00000031052,ENSFHEG00000011374,protein_coding,
ENSFHEP00000014026,-0.775902463474812,0.563004463237441,5.68518288397346,8.261997133432,0.000584900984486448,0.211403024149996,ENSFHET00000021771,ENSFHEG00000015558,protein_coding,
ENSFHEP00000027721,3.35116944980728,3.00301001799131,3.54140126250009,8.24959486499799,0.000590841319591939,0.211403024149996,ENSFHET00000016706,ENSFHEG00000011387,protein_coding,plcd3a
ENSFHEP00000015614,-6.71723099586527,-0.710937414801628,4.09880267929537,8.05180949992626,0.000694419927945475,0.242234833537627,ENSFHET00000023771,ENSFHEG00000017255,protein_coding,
ENSFHEP00000024936,3.88985671011192,3.53715476397438,2.39937338494563,8.0427675046704,0.00069957889320537,0.242234833537627,ENSFHET00000006495,ENSFHEG00000000186,protein_coding,
ENSFHEP00000005101,4.79573299812255,-0.171670272946321,2.61804391434093,8.00590445971842,0.000721022265116211,0.245696920436743,ENSFHET00000007732,ENSFHEG00000006032,protein_coding,lxn
ENSFHEP00000006525,6.47147795701428,0.571160386358061,-1.10452132359134,7.97705694012283,0.000738273339547019,0.247644563334303,ENSFHET00000005351,ENSFHEG00000007628,protein_coding,
ENSFHEP00000024331,3.15785732425472,3.1922449131576,-0.938086729860731,7.77938905817436,0.000868478602286244,0.286838440521248,ENSFHET00000008060,ENSFHEG00000005827,protein_coding,MEI1
ENSFHEP00000031057,2.09028286465499,0.318442000073274,3.74914275996124,7.73876217719777,0.00089804242089089,0.292108707449782,ENSFHET00000023157,ENSFHEG00000016711,protein_coding,slc52a2
ENSFHEP00000017302,3.46236278934696,-0.395927206585,4.1924567823396,7.60601028016941,0.00100206019927286,0.316356299382203,ENSFHET00000025948,ENSFHEG00000019021,protein_coding,tk1
ENSFHEP00000017589,6.80515154936501,3.6471473076635,-1.48109135104195,7.61099654317531,0.000997937713439704,0.316356299382203,ENSFHET00000026311,ENSFHEG00000019319,protein_coding,
ENSFHEP00000001560,2.79051290684189,3.29908009102204,4.29688422610403,7.58777532990607,0.0010172858898326,0.316508601201829,ENSFHET00000013665,ENSFHEG00000002314,protein_coding,st6galnac6
ENSFHEP00000027726,-4.46549043680717,4.4439886663425,-1.54198815244105,7.53307585932339,0.00106440043581971,0.326436407945392,ENSFHET00000016781,ENSFHEG00000011369,protein_coding,ambp
ENSFHEP00000031637,2.3551195203479,-0.151828115050046,6.20389110912738,7.45692223772223,0.00113375643216503,0.342809620925619,ENSFHET00000024270,ENSFHEG00000017655,protein_coding,slc25a11
ENSFHEP00000021072,-6.21851331736425,-4.79326472471313,-1.29705907876773,7.41101344353761,0.0011777947982383,0.345498359987879,ENSFHET00000035507,ENSFHEG00000023076,protein_coding,med16
ENSFHEP00000026356,3.3741599913236,2.97417981819678,4.65764597522601,7.39766170165205,0.0011909296925239,0.345498359987879,ENSFHET00000002913,ENSFHEG00000009143,protein_coding,fam114a1
ENSFHEP00000032821,-1.25891529906196,-1.82534740208701,4.55875406683805,7.40575135406579,0.00118295356158452,0.345498359987879,ENSFHET00000034130,ENSFHEG00000019538,protein_coding,nr1d1
ENSFHEP00000022614,-3.42113535700015,-2.09650121856231,2.54991305045433,7.36657433152897,0.00122209860150277,0.349813503694152,ENSFHET00000012457,ENSFHEG00000003086,protein_coding,ENDOV
ENSFHEP00000018354,4.28035790642477,3.5699731736699,4.71365183490159,7.33251470204963,0.00125721135944514,0.355129124533793,ENSFHET00000027300,ENSFHEG00000000507,protein_coding,C20orf27
ENSFHEP00000008743,-0.261263876595797,5.06580449500454,1.33377858729498,7.30822410170062,0.00128288498270069,0.357674997514524,ENSFHET00000001637,ENSFHEG00000010051,protein_coding,
ENSFHEP00000020954,-1.20069881140265,-3.91500628899339,-0.306118486258619,7.26585471861851,0.00132896371248165,0.365771704866104,ENSFHET00000035442,ENSFHEG00000022939,protein_coding,cacnb3b
ENSFHEP00000011162,-2.43212784812737,0.31331399444521,4.17801721208692,7.13276523050292,0.00148508026009648,0.403565861060142,ENSFHET00000018087,ENSFHEG00000012610,protein_coding,arhgef7a
ENSFHEP00000019938,-3.97936548865481,1.00913272874474,-2.28737469580093,7.02615295433957,0.00162366740529678,0.435711148211392,ENSFHET00000029306,ENSFHEG00000021851,protein_coding,
ENSFHEP00000003060,-2.18686498724689,1.00918589646444,6.73569526997703,6.98832533898706,0.00167597697497766,0.443108951060282,ENSFHET00000011178,ENSFHEG00000003890,protein_coding,
ENSFHEP00000025164,4.28892065295036,4.12348788978178,-2.50710428570241,6.97661718101873,0.00169251602324125,0.443108951060282,ENSFHET00000005923,ENSFHEG00000007479,protein_coding,sbf2
ENSFHEP00000002225,-3.85353979081543,0.599047358760575,-1.15711559558397,6.90773270230704,0.00179327792366558,0.454780290827563,ENSFHET00000012576,ENSFHEG00000003022,protein_coding,acvr2aa
ENSFHEP00000005197,-1.6963268596873,-1.90093776321234,3.68913094886079,6.88999119774305,0.00182021427699571,0.454780290827563,ENSFHET00000007580,ENSFHEG00000006153,protein_coding,aspa
ENSFHEP00000014695,3.65922170959064,-4.02080459547985,3.41325247619445,6.88659992630821,0.00182541028339942,0.454780290827563,ENSFHET00000022592,ENSFHEG00000016280,protein_coding,
ENSFHEP00000018070,6.00274109935089,1.90376315996418,-2.55981824894974,6.8680552306825,0.00185409470289778,0.454780290827563,ENSFHET00000026941,ENSFHEG00000019961,protein_coding,yme1l1b
ENSFHEP00000022298,-3.75001735070232,1.60817006197671,1.69699654744291,6.85357342085504,0.00187681658104527,0.454780290827563,ENSFHET00000013223,ENSFHEG00000002579,protein_coding,si:ch211-37e10.2
ENSFHEP00000027128,1.07730045940886,-0.689324121944359,2.71104079840809,6.84815903592043,0.00188538503277683,0.454780290827563,ENSFHET00000000947,ENSFHEG00000010399,protein_coding,fam151b
ENSFHEP00000033747,0.379930598694983,-1.01739706174969,7.37894568685372,6.86095630155761,0.0018651973498857,0.454780290827563,ENSFHET00000028479,ENSFHEG00000021062,protein_coding,per3
ENSFHEP00000005835,3.55889325054157,-0.849652974098423,3.30653836440804,6.78028005987727,0.00199628109884653,0.460818953011154,ENSFHET00000006520,ENSFHEG00000006808,protein_coding,abhd4
ENSFHEP00000008811,3.06877165093094,0.649470991204316,4.49942477571624,6.79577643765093,0.00197038737261336,0.460818953011154,ENSFHET00000001522,ENSFHEG00000010119,protein_coding,NFIX
ENSFHEP00000018813,-3.21278782524664,3.44687720444684,-1.56779129489614,6.78495990340704,0.00198842465262616,0.460818953011154,ENSFHET00000027909,ENSFHEG00000020701,protein_coding,
ENSFHEP00000030012,4.36170369490261,0.221192394210442,0.119367546138192,6.79545477023341,0.00197092134118395,0.460818953011154,ENSFHET00000022167,ENSFHEG00000015060,protein_coding,
ENSFHEP00000029472,-3.66983322549576,1.19255548969317,4.19773645405904,6.76443093416784,0.00202312610021464,0.462047565100084,ENSFHET00000020083,ENSFHEG00000014189,protein_coding,
ENSFHEP00000005855,-0.193594471796048,-4.99282716071542,0.0471349471765858,6.56080225656377,0.00240296615879356,0.465404976377761,ENSFHET00000006483,ENSFHEG00000006836,protein_coding,zgc:113425
ENSFHEP00000006001,-4.67200404007825,-4.52021594343049,-2.53269320814596,6.62388294677074,0.00227803997979904,0.465404976377761,ENSFHET00000006235,ENSFHEG00000007049,protein_coding,DGKQ
ENSFHEP00000010481,-0.57697095329509,-2.86176314654986,2.69986966836731,6.61345307658523,0.00229822558574351,0.465404976377761,ENSFHET00000017338,ENSFHEG00000011791,protein_coding,pudp
ENSFHEP00000014573,5.51367512481125,1.84565342860821,3.17463849320916,6.57109574416797,0.00238210988332049,0.465404976377761,ENSFHET00000022435,ENSFHEG00000016143,protein_coding,gpr184
ENSFHEP00000015028,-3.85977448268449,-6.4143692426725,0.877914778470369,6.69869014345607,0.00213849813267158,0.465404976377761,ENSFHET00000023029,ENSFHEG00000016629,protein_coding,cttnbp2nla
ENSFHEP00000016356,1.09860312672179,4.33455468886941,-1.72050987305032,6.60517680516027,0.00231437392293033,0.465404976377761,ENSFHET00000024716,ENSFHEG00000018049,protein_coding,rgs7bpa
ENSFHEP00000016599,-3.29387799518005,-0.80615156022504,2.34120045166747,6.58814278760244,0.00234797798670332,0.465404976377761,ENSFHET00000033657,ENSFHEG00000018298,protein_coding,CPNE3
ENSFHEP00000018818,-2.22422861565526,-0.0140271129730094,3.38205144958194,6.65898996789769,0.00221142363429928,0.465404976377761,ENSFHET00000034530,ENSFHEG00000020702,protein_coding,spsb4a
ENSFHEP00000018980,0.656890489129166,-3.29428051800019,3.16086366170727,6.58772879897025,0.00234880089986054,0.465404976377761,ENSFHET00000028107,ENSFHEG00000020881,protein_coding,mospd2
ENSFHEP00000020070,2.19204094817156,1.68868719526499,5.92870895157107,6.69127133382425,0.00215193559315529,0.465404976377761,ENSFHET00000029497,ENSFHEG00000022042,protein_coding,ptch2
ENSFHEP00000021871,0.517545508743752,-1.84642414016175,2.18761948451127,6.7120480155289,0.00211452039183407,0.465404976377761,ENSFHET00000014347,ENSFHEG00000001910,protein_coding,metrn
ENSFHEP00000022082,-3.77783010925639,-2.19627036833504,4.33017483163173,6.55913100142994,0.00240637005673241,0.465404976377761,ENSFHET00000013819,ENSFHEG00000002226,protein_coding,ptges
ENSFHEP00000023268,3.78358485108276,0.0551657627379743,4.74312958343499,6.71081772872934,0.00211671719340027,0.465404976377761,ENSFHET00000010825,ENSFHEG00000004124,protein_coding,
ENSFHEP00000027016,2.2069862075412,-4.63935361237256,0.564541920218356,6.60429592289474,0.00231609951716734,0.465404976377761,ENSFHET00000001206,ENSFHEG00000010447,protein_coding,casz1
ENSFHEP00000029771,-3.26569632787483,-0.761653717055141,3.36491258497533,6.60797494544732,0.00230890129588056,0.465404976377761,ENSFHET00000020663,ENSFHEG00000014663,protein_coding,hdhd3
ENSFHEP00000030559,0.565117288515814,1.44218792047388,4.19518209687312,6.59373791391282,0.00233688518981985,0.465404976377761,ENSFHET00000022174,ENSFHEG00000015971,protein_coding,
ENSFHEP00000032925,-2.08801603763953,-4.7220312722172,2.11984098068299,6.73502122721997,0.00207392692560578,0.465404976377761,ENSFHET00000026755,ENSFHEG00000019709,protein_coding,
ENSFHEP00000015598,3.11807436173487,0.491061294910199,3.89028692554805,6.53876815801151,0.00244824388632684,0.469275890639862,ENSFHET00000023757,ENSFHEG00000017227,protein_coding,cdkn2aip
ENSFHEP00000015719,2.53821627139665,4.19983390997981,-2.52096888100083,6.50658113921394,0.00251596601484273,0.470756438656294,ENSFHET00000023910,ENSFHEG00000017336,protein_coding,
ENSFHEP00000022109,-4.70900614287526,0.239853995835666,3.00601658770286,6.50387216593564,0.00252175286218902,0.470756438656294,ENSFHET00000013730,ENSFHEG00000002295,protein_coding,loxl4
ENSFHEP00000026353,0.66740010050123,4.9009959700194,-1.53798046314716,6.51118065020112,0.00250617187618659,0.470756438656294,ENSFHET00000002910,ENSFHEG00000009166,protein_coding,hpda
ENSFHEP00000031308,-4.80331965059945,-1.77109102678454,0.649620684488954,6.49013760777952,0.00255130347119383,0.472167094134388,ENSFHET00000023620,ENSFHEG00000017103,protein_coding,
ENSFHEP00000030296,-2.05993150937063,-0.263759783083824,3.93427337879238,6.45990290118309,0.00261761540854416,0.48029886829595,ENSFHET00000032616,ENSFHEG00000015517,protein_coding,
ENSFHEP00000006010,1.92650475187488,1.07546938935959,8.420702809196,6.42012956287207,0.00270755475955018,0.492591403203587,ENSFHET00000006218,ENSFHEG00000007171,protein_coding,dspb
ENSFHEP00000000886,0.212533272184359,-2.36299336783096,5.59960626345547,6.18345992664314,0.00331254863579022,0.507271859567158,ENSFHET00000014779,ENSFHEG00000001641,protein_coding,CDC37
ENSFHEP00000002963,1.04808392176521,6.18952435089106,-0.217557662863349,6.30521554452948,0.00298567864882077,0.507271859567158,ENSFHET00000011375,ENSFHEG00000003763,protein_coding,
ENSFHEP00000005780,-5.50847778051732,-4.33247140793774,-0.402574347821036,6.11871915923758,0.00350111227789059,0.507271859567158,ENSFHET00000006606,ENSFHEG00000006831,protein_coding,ldhbb
ENSFHEP00000006679,-2.60749693453317,0.240695443109963,2.86816201799598,6.28279608803838,0.0030432763492044,0.507271859567158,ENSFHET00000005097,ENSFHEG00000007736,protein_coding,
ENSFHEP00000007236,1.9802170840152,-1.31582950274135,0.950102592298182,6.34423611613221,0.00288808791537584,0.507271859567158,ENSFHET00000004160,ENSFHEG00000008324,protein_coding,
ENSFHEP00000008275,1.42725409873847,0.806857882010678,5.65048273772599,6.19841232866892,0.00327050160598481,0.507271859567158,ENSFHET00000002409,ENSFHEG00000009525,protein_coding,celsr1a
ENSFHEP00000008598,0.694779377984549,-1.54956421405096,3.47854443314019,6.08491806500279,0.00360390929227315,0.507271859567158,ENSFHET00000001877,ENSFHEG00000009790,protein_coding,gcgrb
ENSFHEP00000012670,4.97675233743765,3.37963938841514,0.639604830869393,6.10353925559311,0.00354689998138335,0.507271859567158,ENSFHET00000020000,ENSFHEG00000014122,protein_coding,
ENSFHEP00000013818,1.23915380765266,5.66544607007395,-0.783243332005482,6.14436978860902,0.00342511678746252,0.507271859567158,ENSFHET00000021442,ENSFHEG00000000885,protein_coding,
ENSFHEP00000013856,-1.9780845937156,5.36340418964958,-1.41152529357309,6.31997193177478,0.00294838043838574,0.507271859567158,ENSFHET00000021512,ENSFHEG00000015376,protein_coding,
ENSFHEP00000014497,-1.86999435255168,2.69586650763696,3.18006360022924,6.13295121193108,0.00345873523114599,0.507271859567158,ENSFHET00000022336,ENSFHEG00000016049,protein_coding,arl13b
ENSFHEP00000015805,3.05183345656758,2.7920161451453,6.10296461710848,6.23154567867187,0.00317927146755017,0.507271859567158,ENSFHET00000024043,ENSFHEG00000017463,protein_coding,selenof
ENSFHEP00000016319,-6.33574326934753,2.31224581618288,0.844706279634988,6.12391495741914,0.003485579891387,0.507271859567158,ENSFHET00000024682,ENSFHEG00000018046,protein_coding,rubcnl
ENSFHEP00000016514,4.2697512057872,3.69284381093972,3.7480768174668,6.12747161028329,0.00347498842530066,0.507271859567158,ENSFHET00000024921,ENSFHEG00000018236,protein_coding,vash2
ENSFHEP00000018118,4.54054627676945,-0.0739553076207979,-0.85537989956698,6.18721063527659,0.00330194950682741,0.507271859567158,ENSFHET00000027000,ENSFHEG00000019931,protein_coding,
ENSFHEP00000020763,-4.82853356939619,-1.20518896211809,3.12040399675062,6.34449671444474,0.002887447293101,0.507271859567158,ENSFHET00000030345,ENSFHEG00000022690,protein_coding,
ENSFHEP00000021660,1.44269585051308,-3.51002766877334,-0.3777621768244,6.24017536095765,0.00315594234373431,0.507271859567158,ENSFHET00000014930,ENSFHEG00000001549,protein_coding,stac
ENSFHEP00000022660,4.05165909004959,5.68941180326584,-0.389011195385854,6.1877075127942,0.00330054799681781,0.507271859567158,ENSFHET00000012305,ENSFHEG00000003188,protein_coding,
ENSFHEP00000024198,-4.06086453414025,-1.21292682871128,3.44989447709417,6.16956651828642,0.00335211557527171,0.507271859567158,ENSFHET00000008423,ENSFHEG00000005597,protein_coding,hmces
ENSFHEP00000024219,1.21121373452221,4.97112883407749,-0.098535778499981,6.14963262792165,0.00340973521523433,0.507271859567158,ENSFHET00000008343,ENSFHEG00000005664,protein_coding,
ENSFHEP00000025039,3.40340556704309,2.97798235980683,-1.88012546059288,6.10249636641964,0.00355006818680457,0.507271859567158,ENSFHET00000006239,ENSFHEG00000006997,protein_coding,rnf150a
ENSFHEP00000025559,-4.45689453423524,-0.0369017167733962,5.1545890298442,6.08481054447723,0.00360424118939033,0.507271859567158,ENSFHET00000004917,ENSFHEG00000007872,protein_coding,eif3k
ENSFHEP00000026515,0.566773575690596,-2.43252016319608,2.31279919771115,6.24311057918698,0.00314804754675897,0.507271859567158,ENSFHET00000002508,ENSFHEG00000009442,protein_coding,
ENSFHEP00000027861,3.41888033026758,0.0564617828859272,2.66524842159864,6.32292573720534,0.00294097210025476,0.507271859567158,ENSFHET00000016967,ENSFHEG00000011591,protein_coding,lipt1
ENSFHEP00000029002,2.86148024938147,-0.790735988997572,0.087710784428663,6.33704795319955,0.00290581608813773,0.507271859567158,ENSFHET00000031824,ENSFHEG00000000309,protein_coding,
ENSFHEP00000029816,5.88776405707674,2.00141122521629,-2.28600754241946,6.13016246332812,0.00346699722953106,0.507271859567158,ENSFHET00000020751,ENSFHEG00000014735,protein_coding,
